NOTIFICATION_REFERENCE,NOTIF_DATE,ORIGIN_COUNTRY_DESC,NOTIFYNG_COUNTRY_DESC,PRODUCT_NAME,PRODUCT_CATEGORY_DESC,HAZARD_CATEGORY_NAME,substance,unauthorised_flag,NOTIFICATION_CLASSIFICAT_DESC,NOTIFICATION_BASIS_DESC,RISK_DECISION_DESC,DISTRIBUTION_STATUS_DESC,NOTIF_SUBJECT
2024.5723,2024-07-25,India,Switzerland,"Guavas, mangoes and mangosteens",fruits and vegetables,clothianidin   - {pesticide residues} *** thiamethoxam   - {pesticide residues},thiamethoxam,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,Unauthorised substances (pesticides) in Guavas from India
2024.5675,2024-07-24,Türkiye,Bulgaria,Sweet peppers,fruits and vegetables,formetanate   - {pesticide residues},formetanate,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,formetanate in fresh peppers from Türkiye
2024.5664,2024-07-24,Türkiye,Bulgaria,Sweet peppers,fruits and vegetables,formetanate   - {pesticide residues},formetanate,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,formetanate in fresh peppers from Türkiye
2024.5600,2024-07-22,Egypt,France,Oranges,fruits and vegetables,dimethoate   - {pesticide residues},dimethoate,False,information notification for attention,official control on the market,serious,product (presumably) no longer on the market,pesticide residues in oranges 
2024.5530,2024-07-19,Egypt,Lithuania,Oranges,fruits and vegetables,chlorpropham   - {pesticide residues} *** chlorpyrifos   - {pesticide residues},chlorpropham,False,border rejection notification,border control - consignment detained,serious,distribution to non-member countries only,Elevated levels of the pesticides chlorpropham and chlorpyrifos in oranges from Egypt
2024.5530,2024-07-19,Egypt,Lithuania,Oranges,fruits and vegetables,chlorpropham   - {pesticide residues} *** chlorpyrifos   - {pesticide residues},chlorpyrifos,False,border rejection notification,border control - consignment detained,serious,distribution to non-member countries only,Elevated levels of the pesticides chlorpropham and chlorpyrifos in oranges from Egypt
2024.5556,2024-07-19,India,Norway,Drumsticks (Moringa oleifera),fruits and vegetables,fenpropathrin   - {pesticide residues},fenpropathrin,False,border rejection notification,border control - consignment detained,no risk,product not (yet) placed on the market,Pesticide residue above MRL in moringa/drumsticks from India
2024.5500,2024-07-18,Kenya,France,Green beans,fruits and vegetables,carbendazim   - {pesticide residues},carbendazim,False,border rejection notification,border control - consignment detained,not serious,product not (yet) placed on the market,Carbendazim in green beans from Kenya
2024.5496,2024-07-18,Kenya,Netherlands,"green beans, wax beans and string beans",fruits and vegetables,acephate  unauthorised substance - {pesticide residues} *** chlorpyriphos-ethyl   - {pesticide residues} *** methamidophos  unauthorised substance - {pesticide residues},acephate,True,border rejection notification,border control - consignment detained,potential risk,product not (yet) placed on the market,Beans Kenya Pesticide Residue
2024.5496,2024-07-18,Kenya,Netherlands,"green beans, wax beans and string beans",fruits and vegetables,acephate  unauthorised substance - {pesticide residues} *** chlorpyriphos-ethyl   - {pesticide residues} *** methamidophos  unauthorised substance - {pesticide residues},chlorpyriphos-ethyl,False,border rejection notification,border control - consignment detained,potential risk,product not (yet) placed on the market,Beans Kenya Pesticide Residue
